file,energy_before_eV,energy_after_eV,natoms,relaxed_cif
struct_0569.cif,-92.281746,-92.28567,12,struct_0569_relaxed.cif
struct_0570.cif,-38.21266,-38.284893,6,struct_0570_relaxed.cif
struct_0571.cif,-41.803806,-41.846806,6,struct_0571_relaxed.cif
struct_0572.cif,-18.904688,-18.90472,3,struct_0572_relaxed.cif
struct_0573.cif,-59.325127,-59.360348,8,struct_0573_relaxed.cif
struct_0574.cif,-29.659302,-29.659302,4,struct_0574_relaxed.cif
struct_0575.cif,-66.36429,-66.42385,10,struct_0575_relaxed.cif
struct_0576.cif,-80.0281,-80.03647,10,struct_0576_relaxed.cif
struct_0577.cif,-40.03636,-40.038074,5,struct_0577_relaxed.cif
struct_0578.cif,-52.69745,-52.75477,8,struct_0578_relaxed.cif
struct_0579.cif,-56.39353,-56.461678,8,struct_0579_relaxed.cif
struct_0580.cif,-69.575386,-70.77836,9,struct_0580_relaxed.cif
struct_0581.cif,-129.1658,-129.2246,16,struct_0581_relaxed.cif
struct_0582.cif,-53.47444,-53.501255,8,struct_0582_relaxed.cif
struct_0583.cif,-62.655285,-62.94505,8,struct_0583_relaxed.cif
struct_0584.cif,-96.371185,-96.46159,12,struct_0584_relaxed.cif
struct_0585.cif,-80.0328,-80.05315,10,struct_0585_relaxed.cif
struct_0586.cif,-68.667854,-68.71882,9,struct_0586_relaxed.cif
struct_0587.cif,-61.366646,-61.50378,9,struct_0587_relaxed.cif
struct_0588.cif,-28.470465,-28.472435,4,struct_0588_relaxed.cif
struct_0589.cif,-80.06326,-80.066124,10,struct_0589_relaxed.cif
struct_0590.cif,-81.86203,-81.927025,11,struct_0590_relaxed.cif
struct_0591.cif,-28.595905,-28.726635,6,struct_0591_relaxed.cif
struct_0592.cif,-112.63496,-113.01215,16,struct_0592_relaxed.cif
struct_0593.cif,-55.09214,-55.122185,8,struct_0593_relaxed.cif
struct_0594.cif,-83.395996,-83.44844,12,struct_0594_relaxed.cif
struct_0595.cif,-28.464298,-28.466507,4,struct_0595_relaxed.cif
struct_0596.cif,-28.219418,-28.23917,4,struct_0596_relaxed.cif
struct_0597.cif,-92.25423,-92.261734,12,struct_0597_relaxed.cif
struct_0598.cif,-53.465137,-53.498184,8,struct_0598_relaxed.cif
struct_0599.cif,-96.340805,-96.412025,12,struct_0599_relaxed.cif
struct_0600.cif,-28.232468,-28.251858,4,struct_0600_relaxed.cif
struct_0601.cif,-107.94296,-108.09964,14,struct_0601_relaxed.cif
struct_0602.cif,-52.19719,-52.19772,7,struct_0602_relaxed.cif
struct_0603.cif,-63.53673,-63.538467,9,struct_0603_relaxed.cif
struct_0604.cif,-57.846523,-58.07824,8,struct_0604_relaxed.cif
struct_0605.cif,-15.0915,-15.113544,4,struct_0605_relaxed.cif
struct_0606.cif,-53.074696,-53.08439,8,struct_0606_relaxed.cif
struct_0607.cif,-104.166794,-104.19243,14,struct_0607_relaxed.cif
struct_0608.cif,-81.025635,-81.105286,12,struct_0608_relaxed.cif
struct_0609.cif,-92.269356,-92.27639,12,struct_0609_relaxed.cif
struct_0610.cif,-52.199432,-52.19989,7,struct_0610_relaxed.cif
struct_0611.cif,-33.43615,-33.623867,6,struct_0611_relaxed.cif
struct_0612.cif,-134.80011,-135.1375,18,struct_0612_relaxed.cif
struct_0613.cif,-95.800095,-95.96914,12,struct_0613_relaxed.cif
struct_0614.cif,-28.452084,-28.452848,4,struct_0614_relaxed.cif
struct_0615.cif,-40.025845,-40.02642,5,struct_0615_relaxed.cif
struct_0616.cif,-88.79093,-88.87843,12,struct_0616_relaxed.cif
struct_0617.cif,-43.753216,-43.866158,6,struct_0617_relaxed.cif
struct_0618.cif,-116.4548,-116.51917,15,struct_0618_relaxed.cif
struct_0619.cif,-18.82172,-21.1517,4,struct_0619_relaxed.cif
struct_0620.cif,-28.481184,-28.483263,4,struct_0620_relaxed.cif
struct_0621.cif,-92.28154,-92.28538,12,struct_0621_relaxed.cif
struct_0622.cif,-123.33413,-123.375084,16,struct_0622_relaxed.cif
struct_0623.cif,-85.37545,-89.49045,12,struct_0623_relaxed.cif
struct_0624.cif,-28.481396,-28.481617,4,struct_0624_relaxed.cif
struct_0625.cif,-17.046692,-17.063816,3,struct_0625_relaxed.cif
struct_0626.cif,-57.381645,-57.39074,8,struct_0626_relaxed.cif
struct_0627.cif,-106.31914,-106.44118,16,struct_0627_relaxed.cif
